"REG_ANS","Razao_Social","total_despesas"
"5711",BRADESCO SAÚDE S.A.,77467609279.79
"6246",SUL AMERICA COMPANHIA DE SEGURO SAÚDE,51812853068.58
"326305",AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.,51005557507.35
"359017",NOTRE DAME INTERMÉDICA SAÚDE S.A.,23545735832.81
"368253",HAPVIDA ASSISTENCIA MEDICA S.A.,19385534464.99
"346659",CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL,18412177093.19
"339679",UNIMED NACIONAL - COOPERATIVA CENTRAL,17391267369.70
"302147",PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA,14635643010.58
"343889",UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO,13162050667.89
"701",UNIMED SEGUROS SAÚDE S/A,11738001188.48
"582",PORTO SEGURO - SEGURO SAÚDE S/A,11083037988.53
"323080",GEAP AUTOGESTÃO EM SAÚDE,8769323198.69
"352501",UNIMED PORTO ALEGRE - COOPERATIVA MÉDICA LTDA.,8150206390.68
"335690",UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO,7627984233.80
"304701",UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS,7241894698.19
"317144",UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.,6285794148.68
"382876",UNIMED GOIANIA COOPERATIVA DE TRABALHO MÉDICO,5361574117.41
"359661",OMINT SERVIÇOS DE SAÚDE S.A.,5321438007.49
"312126",FUNDAÇÃO SAÚDE ITAÚ,5308679986.59
"312363",UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS,5045079671.22
"379956",CARE PLUS MEDICINA ASSISTENCIAL LTDA.,4490770879.90
"357391",UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO,4474588140.31
"309222",GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA,4459913672.24
"303976",UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO,3934200531.99
"315478",FUNDAÇÃO CESP,3887149464.77
"403911",VISION MED ASSISTÊNCIA MÉDICA LTDA,3324788298.92
"344885",UNIMED RECIFE COOPERATIVA DE TRABALHO MÉDICO,3265959445.85
"342084",UNIMED CUIABA COOPERATIVA DE TRABALHO MÉDICO,3124901374.74
"360449",UNIMED GRANDE FLORIANÓPOLIS-COOPERATIVA DE TRABALHO MEDICO,3021622184.41
"319996",UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS,2937339755.19
"335592",UNIMED NATAL SOC. COOP. DE TRAB. MÉDICO,2837291898.26
"335100",UNIMED SAO JOSÉ DO RIO PRETO - COOP. DE TRABALHO MÉDICO,2790821216.78
"346926",FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA,2722720008.75
"352331",CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO,2715938335.33
"348295",UNIMED SOROCABA COOPERATIVA DE TRABALHO MÉDICO,2566634516.82
"335614",SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A,2551040638.64
"343731",UNIMED-SÃO GONÇALO - NITERÓI - SOC.COOP.SERV.MED E HOSP LTDA,2549389277.07
"325571",UNIMED SERRA GAUCHA/RS COOPERATIVA DE ASSISTENCIA A SAUDE LTDA,2476285297.92
"357511",HUMANA SAÚDE NORDESTE LTDA. ,2357183865.32
"321044",UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO,2327255898.14
"343269",UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MÉDICO,2279725575.26
"348520",NOTRE DAME INTERMÉDICA MINAS GERAIS SAÚDE S.A.,2235090817.26
"327689",UNIMED MACEIO COOPERATIVA DE TRABALHO MÉDICO,2224053602.36
"413534",CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL,2096226282.50
"355097",SANTA HELENA ASSISTÊNCIA MÉDICA S/A.,2054715579.95
"312851",UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MÉDICO,1947984020.62
"355721",UNIMED DE SANTOS COOP DE TRAB MEDICO,1927026592.11
"371254",UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO,1899075581.01
"340782",CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA,1824344441.01
"314218",ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO,1717527106.60
"351202",UNIMED DE RIBEIRAO PRETO - COOPERATIVA DE TRABALHO MÉDICO,1711503512.33
"334561",UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO,1698107285.76
"303623",CENTRO TRASMONTANO DE SAO PAULO,1654163792.61
"384577",UNIMED UBERLÂNDIA COOPERATIVA REGIONAL TRABALHO MÉDICO LTDA,1606556512.82
"342033",SAMP ESPIRITO SANTO ASSISTENCIA MEDICA SA,1595241647.08
