"REG_ANS","Razao_Social","total_despesas"
"5711",BRADESCO SAÚDE S.A.,30941701628.46
"6246",SUL AMERICA COMPANHIA DE SEGURO SAÚDE,21124940442.30
"326305",AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.,20820818085.36
"359017",NOTRE DAME INTERMÉDICA SAÚDE S.A.,9307980465.62
"368253",HAPVIDA ASSISTENCIA MEDICA S.A.,7755562753.15
"346659",CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL,7459368017.21
"339679",UNIMED NACIONAL - COOPERATIVA CENTRAL,7002487899.10
"302147",PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA,5920615078.62
"343889",UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO,5411476065.42
"701",UNIMED SEGUROS SAÚDE S/A,4824024195.15
